CMDLINE python ./import_db.py
MEM 7.496094 1483694712.0431
MEM 16.972656 1483694712.1612
MEM 17.714844 1483694712.2808
MEM 18.335938 1483694712.4025
MEM 18.335938 1483694712.5245
MEM 18.335938 1483694712.6459
MEM 18.335938 1483694712.7678
MEM 18.335938 1483694712.8890
MEM 18.335938 1483694713.0105
MEM 18.335938 1483694713.1321
MEM 18.335938 1483694713.2533
MEM 18.335938 1483694713.3742
MEM 18.335938 1483694713.4959
MEM 18.335938 1483694713.6180
MEM 18.335938 1483694713.7392
MEM 18.335938 1483694713.8604
MEM 18.335938 1483694713.9821
MEM 18.335938 1483694714.1028
MEM 18.335938 1483694714.2239
MEM 18.335938 1483694714.3457
MEM 18.335938 1483694714.4671
MEM 18.335938 1483694714.5881
MEM 18.335938 1483694714.7093
MEM 18.335938 1483694714.8302
MEM 18.335938 1483694714.9512
MEM 18.335938 1483694715.0720
MEM 18.335938 1483694715.1938
MEM 18.335938 1483694715.3151
MEM 18.335938 1483694715.4368
MEM 18.335938 1483694715.5580
MEM 18.335938 1483694715.6792
MEM 18.335938 1483694715.8007
MEM 18.335938 1483694715.9218
MEM 18.335938 1483694716.0448
MEM 18.335938 1483694716.1661
MEM 18.335938 1483694716.2876
MEM 18.335938 1483694716.4088
MEM 18.335938 1483694716.5305
MEM 18.335938 1483694716.6516
MEM 18.335938 1483694716.7729
MEM 18.335938 1483694716.8950
MEM 18.335938 1483694717.0165
MEM 18.335938 1483694717.1381
MEM 18.335938 1483694717.2598
MEM 18.335938 1483694717.3817
MEM 18.335938 1483694717.5035
MEM 18.335938 1483694717.6247
MEM 18.335938 1483694717.7470
MEM 18.335938 1483694717.8684
MEM 18.335938 1483694717.9902
MEM 18.335938 1483694718.1117
MEM 18.335938 1483694718.2330
MEM 18.335938 1483694718.3545
MEM 18.335938 1483694718.4757
MEM 18.335938 1483694718.5971
MEM 18.335938 1483694718.7186
MEM 18.335938 1483694718.8397
MEM 18.335938 1483694718.9608
MEM 18.335938 1483694719.0823
MEM 18.335938 1483694719.2036
MEM 18.335938 1483694719.3250
MEM 18.335938 1483694719.4464
MEM 18.335938 1483694719.5697
MEM 18.335938 1483694719.6909
MEM 18.335938 1483694719.8124
MEM 18.335938 1483694719.9334
MEM 18.335938 1483694720.0548
MEM 18.335938 1483694720.1765
MEM 18.335938 1483694720.2975
MEM 18.335938 1483694720.4196
MEM 18.335938 1483694720.5414
MEM 18.335938 1483694720.6624
MEM 18.335938 1483694720.7836
MEM 18.335938 1483694720.9049
MEM 18.335938 1483694721.0264
MEM 18.335938 1483694721.1487
MEM 18.335938 1483694721.2705
MEM 18.335938 1483694721.3923
MEM 18.335938 1483694721.5134
MEM 18.335938 1483694721.6346
MEM 18.335938 1483694721.7556
MEM 18.335938 1483694721.8776
MEM 18.335938 1483694721.9998
MEM 18.335938 1483694722.1208
MEM 18.335938 1483694722.2416
MEM 18.335938 1483694722.3632
MEM 18.335938 1483694722.4844
MEM 18.335938 1483694722.6059
MEM 18.335938 1483694722.7276
MEM 18.335938 1483694722.8487
MEM 18.335938 1483694722.9707
MEM 18.335938 1483694723.0920
MEM 18.335938 1483694723.2131
MEM 18.335938 1483694723.3345
MEM 18.335938 1483694723.4576
MEM 18.335938 1483694723.5790
MEM 18.335938 1483694723.7011
MEM 18.335938 1483694723.8228
MEM 18.335938 1483694723.9441
MEM 18.335938 1483694724.0654
MEM 18.335938 1483694724.1864
MEM 18.335938 1483694724.3081
MEM 18.335938 1483694724.4289
MEM 18.335938 1483694724.5495
MEM 18.335938 1483694724.6709
MEM 18.335938 1483694724.7924
MEM 18.335938 1483694724.9141
MEM 18.335938 1483694725.0366
MEM 18.335938 1483694725.1585
MEM 18.335938 1483694725.2801
MEM 18.335938 1483694725.4011
MEM 18.335938 1483694725.5225
MEM 18.335938 1483694725.6439
MEM 18.335938 1483694725.7646
MEM 18.335938 1483694725.8871
MEM 18.335938 1483694726.0081
MEM 18.335938 1483694726.1289
MEM 18.335938 1483694726.2496
MEM 18.335938 1483694726.3703
MEM 18.335938 1483694726.4903
MEM 18.335938 1483694726.6114
MEM 18.335938 1483694726.7325
MEM 18.335938 1483694726.8542
MEM 18.335938 1483694726.9745
MEM 18.335938 1483694727.0967
MEM 18.335938 1483694727.2179
MEM 18.335938 1483694727.3392
MEM 18.335938 1483694727.4605
MEM 18.335938 1483694727.5823
MEM 18.335938 1483694727.7030
MEM 18.335938 1483694727.8241
MEM 18.335938 1483694727.9460
MEM 18.335938 1483694728.0673
MEM 18.335938 1483694728.1891
MEM 18.335938 1483694728.3102
MEM 18.335938 1483694728.4317
MEM 18.335938 1483694728.5531
MEM 18.335938 1483694728.6742
MEM 18.335938 1483694728.7951
MEM 18.335938 1483694728.9171
MEM 18.335938 1483694729.0382
MEM 18.335938 1483694729.1597
MEM 18.335938 1483694729.2814
MEM 18.335938 1483694729.4023
MEM 18.335938 1483694729.5233
MEM 18.335938 1483694729.6446
MEM 18.335938 1483694729.7664
MEM 18.335938 1483694729.8847
MEM 18.335938 1483694730.0057
MEM 18.335938 1483694730.1275
MEM 18.335938 1483694730.2485
MEM 18.335938 1483694730.3690
MEM 18.335938 1483694730.4901
MEM 18.335938 1483694730.6130
MEM 18.335938 1483694730.7336
MEM 18.335938 1483694730.8542
MEM 18.335938 1483694730.9760
MEM 18.335938 1483694731.0966
MEM 18.335938 1483694731.2182
MEM 18.335938 1483694731.3395
MEM 18.335938 1483694731.4608
